Date : 2021-06-02 09:46:00
Directory : c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA
Total : 71 files,  9111 codes, 440 comments, 833 blanks, all 10384 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\android\app\build.gradle                                                    | Groovy     |         52 |          3 |         12 |         67 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\android\app\src\debug\AndroidManifest.xml                                   | XML        |          4 |          3 |          1 |          8 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\android\app\src\main\AndroidManifest.xml                                    | XML        |         37 |         16 |          7 |         60 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\android\app\src\main\res\drawable\launch_background.xml                     | XML        |          4 |          7 |          2 |         13 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\android\app\src\main\res\values\styles.xml                                  | XML        |          9 |          9 |          1 |         19 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\android\app\src\profile\AndroidManifest.xml                                 | XML        |          4 |          3 |          1 |          8 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\android\build.gradle                                                        | Groovy     |         28 |          0 |          5 |         33 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\android\gradle.properties                                                   | Properties |          4 |          0 |          1 |          5 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\android\gradle\wrapper\gradle-wrapper.properties                            | Properties |          5 |          1 |          1 |          7 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\android\settings.gradle                                                     | Groovy     |          8 |          0 |          4 |         12 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\ios\Runner\AppDelegate.swift                                                | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                 | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json               | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                   | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\ios\Runner\Base.lproj\LaunchScreen.storyboard                               | XML        |         36 |          1 |          1 |         38 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\ios\Runner\Base.lproj\Main.storyboard                                       | XML        |         25 |          1 |          1 |         27 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\ios\Runner\Runner-Bridging-Header.h                                         | C++        |          1 |          0 |          1 |          2 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\main.dart                                                               | Dart       |         45 |          0 |          8 |         53 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\components\aisa_avatar.dart                                         | Dart       |         26 |          0 |          5 |         31 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\components\choice_dialog.dart                                       | Dart       |         49 |          0 |          2 |         51 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\components\loading_widget.dart                                      | Dart       |         29 |          0 |          6 |         35 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\components\title_widget.dart                                        | Dart       |         74 |          0 |          4 |         78 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\models\aisa.dart                                                    | Dart       |         75 |          0 |          2 |         77 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\models\board.dart                                                   | Dart       |         19 |          0 |          4 |         23 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\models\difficulty.dart                                              | Dart       |        137 |         16 |         24 |        177 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\models\game.dart                                                    | Dart       |         10 |          0 |          4 |         14 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\models\invite.dart                                                  | Dart       |         43 |          0 |          6 |         49 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\models\level.dart                                                   | Dart       |         42 |          0 |          4 |         46 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\models\multiplayer.dart                                             | Dart       |        100 |          4 |          8 |        112 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\models\request.dart                                                 | Dart       |         35 |          0 |          6 |         41 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\models\stats.dart                                                   | Dart       |         57 |          0 |          7 |         64 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\models\theme.dart                                                   | Dart       |         21 |          0 |          4 |         25 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\models\user.dart                                                    | Dart       |        161 |          0 |          5 |        166 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\providers\authentication_provider.dart                              | Dart       |         89 |         21 |         26 |        136 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\providers\connectivity_provider.dart                                | Dart       |         16 |          0 |          4 |         20 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\providers\database_provider.dart                                    | Dart       |        172 |         11 |         47 |        230 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\providers\local_storage_provider.dart                               | Dart       |         19 |         10 |          8 |         37 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\providers\multiplayer_provider.dart                                 | Dart       |        141 |          3 |         36 |        180 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\providers\notification_provider.dart                                | Dart       |         17 |         11 |          5 |         33 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\providers\theme_provider.dart                                       | Dart       |         39 |          0 |          5 |         44 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\providers\user_state_update_provider.dart                           | Dart       |         11 |          0 |          2 |         13 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\auth_screen\auth_screen.dart                                | Dart       |        116 |          2 |         22 |        140 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\auth_screen\auth_screen_ui.dart                             | Dart       |         88 |          0 |          5 |         93 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\credits_screen\credits_screen.dart                          | Dart       |         47 |          1 |         11 |         59 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\credits_screen\credits_screen_ui.dart                       | Dart       |         34 |          0 |          2 |         36 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\edit_profile_screen\edit_profile_screen.dart                | Dart       |         40 |          0 |          9 |         49 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\edit_profile_screen\edit_profile_screen_ui.dart             | Dart       |         42 |          0 |          2 |         44 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\free_play_screen\free_play_screen.dart                      | Dart       |        338 |         14 |         48 |        400 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\free_play_screen\free_play_screen_ui.dart                   | Dart       |        230 |         15 |          9 |        254 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\friends_screen\friends_screen.dart                          | Dart       |        262 |        125 |         42 |        429 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\friends_screen\friends_screen_ui.dart                       | Dart       |        373 |          0 |          7 |        380 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\home_screen\home_screen.dart                                | Dart       |        288 |          0 |         40 |        328 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\home_screen\home_screen_ui.dart                             | Dart       |        423 |          0 |         11 |        434 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\introduction_screen\introduction_screen.dart                | Dart       |        135 |          2 |         19 |        156 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\introduction_screen\introduction_screen_ui.dart             | Dart       |        132 |          3 |          6 |        141 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\multiplayer_end_screen\multiplayer_end_screen.dart          | Dart       |          8 |          0 |          3 |         11 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\multiplayer_end_screen\multiplayer_end_screen_ui.dart       | Dart       |         13 |          0 |          2 |         15 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\multiplayer_game_screen\multiplayer_game_screen.dart        | Dart       |        591 |         16 |         73 |        680 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\multiplayer_game_screen\multiplayer_game_screen_ui.dart     | Dart       |        721 |          4 |         11 |        736 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\multiplayer_lobby_screen\multiplayer_lobby_screen.dart      | Dart       |        618 |         23 |         61 |        702 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\multiplayer_lobby_screen\multiplayer_lobby_screen_ui.dart   | Dart       |        660 |          1 |         10 |        671 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\settings_screen\settings_screen.dart                        | Dart       |        451 |         15 |         55 |        521 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\settings_screen\settings_screen_ui.dart                     | Dart       |        910 |          4 |         14 |        928 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\single_player_game_screen\single_player_game_screen.dart    | Dart       |        390 |         23 |         48 |        461 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\single_player_game_screen\single_player_game_screen_ui.dart | Dart       |        227 |         15 |          9 |        251 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\splash_screen\splash_screen.dart                            | Dart       |         51 |          0 |          9 |         60 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\splash_screen\splash_screen_ui.dart                         | Dart       |         53 |          0 |          3 |         56 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\wrapper\wrapper.dart                                                | Dart       |          0 |          0 |          3 |          3 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\pubspec.yaml                                                                | YAML       |         42 |         47 |          9 |         98 |
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\test\widget_test.dart                                                       | Dart       |         14 |         10 |          7 |         31 |
| Total                                                                                                                             |            |      9,111 |        440 |        833 |     10,384 |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
